strain,condition,rep,time,perc_mut,perc_wt
rifR,static,1,3h,44.07407407,55.92592593
rifR,static,2,3h,40.35433071,59.64566929
rifR,static,3,3h,42.21824687,57.78175313
Ģctx1,static,1,3h,41.03448276,58.96551724
Ģctx1,static,2,3h,44.01622718,55.98377282
Ģctx1,static,3,3h,42.83121597,57.16878403
Ģctx2,static,1,3h,29.20696325,70.79303675
Ģctx2,static,2,3h,46.57210402,53.42789598
Ģctx2,static,3,3h,38.4765625,61.5234375
Ģctx3,static,1,3h,23.93364929,76.06635071
Ģctx3,static,2,3h,22.18114603,77.81885397
Ģctx3,static,3,3h,24.2248062,75.7751938
Ģctx4,static,1,3h,36.31578947,63.68421053
Ģctx4,static,2,3h,41.26074499,58.73925501
Ģctx4,static,3,3h,39.0625,60.9375
Ģctx1234,static,1,3h,5.617977528,94.38202247
Ģctx1234,static,2,3h,12.87878788,87.12121212
Ģctx1234,static,3,3h,6.790123457,93.20987654
ĢflgE,static,1,3h,1.086956522,98.91304348
ĢflgE,static,2,3h,8.841463415,91.15853659
ĢflgE,static,3,3h,3.112840467,96.88715953
rifR,shake,1,3h,47.85714286,52.14285714
rifR,shake,2,3h,48.03921569,51.96078431
rifR,shake,3,3h,38.01169591,61.98830409
Ģctx1234,shake,1,3h,5.960264901,94.0397351
Ģctx1234,shake,2,3h,6.578947368,93.42105263
Ģctx1234,shake,3,3h,2.409638554,97.59036145
ĢflgE,shake,1,3h,5.217391304,94.7826087
ĢflgE,shake,2,3h,6.474820144,93.52517986
ĢflgE,shake,3,3h,7.453416149,92.54658385
rifR,static,1,7d,57.45501285,42.54498715
rifR,static,2,7d,49.93924666,50.06075334
rifR,static,3,7d,38.64678899,61.35321101
Ģctx1,static,1,7d,56.44067797,43.55932203
Ģctx1,static,2,7d,46.11398964,53.88601036
Ģctx1,static,3,7d,58.74233129,41.25766871
Ģctx2,static,1,7d,50.58939096,49.41060904
Ģctx2,static,2,7d,55.42635659,44.57364341
Ģctx2,static,3,7d,46.72489083,53.27510917
Ģctx3,static,1,7d,17.06700379,82.93299621
Ģctx3,static,2,7d,13.63636364,86.36363636
Ģctx3,static,3,7d,11.11111111,88.88888889
Ģctx4,static,1,7d,54.83415667,45.16584333
Ģctx4,static,2,7d,65.07679871,34.92320129
Ģctx4,static,3,7d,47.62282092,52.37717908
Ģctx1234,static,1,7d,5.270092227,94.72990777
Ģctx1234,static,2,7d,5.402843602,94.5971564
Ģctx1234,static,3,7d,5.059203445,94.94079656
ĢflgE,static,1,7d,29.55112219,70.44887781
ĢflgE,static,2,7d,17.71871539,82.28128461
ĢflgE,static,3,7d,13.73390558,86.26609442
rifR,shake,1,7d,51.25,48.75
rifR,shake,2,7d,45.2991453,54.7008547
rifR,shake,3,7d,59.46969697,40.53030303
Ģctx1234,shake,1,7d,20.09803922,79.90196078
Ģctx1234,shake,2,7d,21.81069959,78.18930041
Ģctx1234,shake,3,7d,19.38325991,80.61674009
ĢflgE,shake,1,7d,19.66292135,80.33707865
ĢflgE,shake,2,7d,28.86597938,71.13402062
ĢflgE,shake,3,7d,29.16666667,70.83333333
