strain,rep,time,perc_mut,perc_wt,tn_log2fc
ĢflgE,1,3 h,1.086956522,98.91304348,-3.4029
ĢflgE,2,3 h,8.841463415,91.15853659,-3.4029
ĢflgE,3,3 h,3.112840467,96.88715953,-3.4029
ĢglnD,1,3 h,35.29411765,64.70588235,-1.6963
ĢglnD,2,3 h,25,75,-1.6963
ĢglnD,3,3 h,33.94495413,66.05504587,-1.6963
ĢntrC,1,3 h,14.36170213,85.63829787,-2.5017
ĢntrC,2,3 h,24.32432432,75.67567568,-2.5017
ĢntrC,3,3 h,17.21854305,82.78145695,-2.5017
ĢrpoN,1,3 h,6.060606061,93.93939394,-3.9581
ĢrpoN,2,3 h,3.896103896,96.1038961,-3.9581
ĢrpoN,3,3 h,17.5,82.5,-3.9581
ĢgltB,1,3 h,34.64052288,65.35947712,-2.097
ĢgltB,2,3 h,17.48466258,82.51533742,-2.097
ĢgltB,3,3 h,27.3255814,72.6744186,-2.097
ĢwecC,1,3 h,12.42105263,87.57894737,-3.2911
ĢwecC,2,3 h,10.66176471,89.33823529,-3.2911
ĢwecC,3,3 h,11.61290323,88.38709677,-3.2911
Ģrtn,1,3 h,85.71428571,14.28571429,0.6962
Ģrtn,2,3 h,99.33333333,0.666666667,0.6962
Ģrtn,3,3 h,95.70200573,4.297994269,0.6962
ĢflgE,1,7 d,29.55112219,70.44887781,-3.739
ĢflgE,2,7 d,17.71871539,82.28128461,-3.739
ĢflgE,3,7 d,13.73390558,86.26609442,-3.739
ĢglnD,1,7 d,0,100,-2.011
ĢglnD,2,7 d,0,100,-2.011
ĢglnD,3,7 d,0,100,-2.011
ĢntrC,1,7 d,2.173913043,97.82608696,-3.0194
ĢntrC,2,7 d,0,100,-3.0194
ĢntrC,3,7 d,0,100,-3.0194
ĢrpoN,1,7 d,0,100,-2.9837
ĢrpoN,2,7 d,0,100,-2.9837
ĢrpoN,3,7 d,0,100,-2.9837
ĢgltB,1,7 d,0.845665962,99.15433404,-2.7341
ĢgltB,2,7 d,0.735294118,99.26470588,-2.7341
ĢgltB,3,7 d,0.16,99.84,-2.7341
ĢwecC,1,7 d,23.36956522,76.63043478,-2.4247
ĢwecC,2,7 d,30.79268293,69.20731707,-2.4247
ĢwecC,3,7 d,33.91812865,66.08187135,-2.4247
Ģrtn,1,7 d,98.36363636,1.636363636,5.5368
Ģrtn,2,7 d,99.71910112,0.280898876,5.5368
Ģrtn,3,7 d,98.99074853,1.009251472,5.5368
